TradeDate,Open,High,Low,Close,Volume
2017-08-30,65.11,66.11,64.76,65.16,1402990
2017-08-30,108.54,111.17,108.54,108.50,709293
2017-08-30,159.11,160.80,158.99,159.20,821264
2017-08-30,37.88,38.38,37.82,37.91,1546363
2017-08-30,56.59,56.85,56.12,56.59,1298246
2017-08-30,61.05,61.86,60.89,61.01,5695990
2017-08-30,60.94,61.23,60.66,61.06,583807
2017-08-30,16.67,16.80,16.62,16.66,1586669
2017-08-30,115.13,115.42,114.91,115.04,2491784
2017-08-30,65.87,66.38,65.82,65.88,439600
2017-08-30,77.31,77.70,76.10,77.65,1494459
2017-08-30,33.48,33.48,33.25,33.50,11759928
2017-08-30,70.19,70.33,70.04,70.26,1223131
2017-08-30,116.00,117.00,115.56,116.55,2903638
2017-08-30,83.50,83.74,82.95,83.50,1853829
2017-08-30,90.23,90.62,89.94,90.41,500659
2017-08-30,127.63,130.17,126.50,127.96,1366280
2017-08-30,126.55,126.87,125.55,126.27,2300505
2017-08-30,86.57,87.37,85.82,86.83,1121044
2017-08-30,103.62,104.30,103.46,103.86,1301360
2017-08-30,39.27,39.42,39.11,39.38,1825193
2017-08-30,130.88,131.02,129.94,130.88,1885801
2017-08-30,1809.10,1818.80,1808.15,1807.06,333409
2017-08-30,62.33,62.72,62.31,62.19,772338
2017-08-30,92.08,92.08,91.66,92.32,4709627
2017-08-30,47.60,47.78,46.40,47.63,5079286
2017-08-30,62.10,62.49,61.84,62.18,1822173
2017-08-30,101.82,102.49,101.28,101.32,1744093
2017-08-30,47.10,47.10,46.79,47.11,1330294
2017-08-30,205.10,205.94,202.70,205.57,519693
2017-08-30,25.31,25.58,25.28,25.31,3057063
2017-08-30,126.53,127.92,125.96,126.62,735729
2017-08-30,70.76,73.17,70.62,70.46,831993
2017-08-30,35.14,35.76,34.71,35.26,1953580
2017-08-30,51.75,52.29,51.56,51.81,4876156
2017-08-30,106.72,107.41,106.57,106.79,477124
2017-08-30,95.87,97.07,95.44,96.00,1909190
2017-08-30,17.31,17.53,17.00,17.40,5036294
2017-08-30,77.65,78.59,77.42,77.54,383042
2017-08-30,183.21,183.21,181.17,182.11,1260101
2017-08-30,56.89,57.01,56.57,56.93,1221776
2017-08-30,105.50,106.45,104.94,105.52,2916623
2017-08-30,63.25,63.66,62.66,63.38,1659914
2017-08-30,480.51,495.85,477.97,479.03,729405
2017-08-30,14.17,14.31,14.15,14.16,9641674
2017-08-30,64.83,65.09,64.71,64.88,732066
2017-08-30,74.95,75.76,74.95,74.95,439869
2017-08-30,44.41,44.55,44.14,44.45,659877
2017-08-30,160.39,162.74,160.39,160.38,383121
2017-08-30,131.22,131.63,129.94,130.74,2524116
2017-08-30,229.62,231.72,229.21,229.47,349131
2017-08-30,58.74,58.92,58.05,58.69,3179226
2017-08-30,120.24,121.73,119.66,120.33,1254178
2017-08-30,93.83,95.18,93.59,93.83,3808110
2017-08-30,59.97,60.09,59.48,59.94,712422
2017-08-30,63.40,63.76,63.07,63.50,4629119
2017-08-30,86.00,86.10,85.48,85.95,1044003
2017-08-30,31.36,31.58,30.91,31.45,3807194
2017-08-30,43.82,44.41,43.78,43.83,1502309
2017-08-30,118.49,118.67,117.52,118.78,645281
2017-08-30,333.13,339.30,332.61,333.14,743201
